センター,root
ﾈｸﾀｲＩＫ,tie_ik
左髪ＩＫ,twintail_ik.L
右髪ＩＫ,twintail_ik.R
左足ＩＫ,leg_ik.L
右足ＩＫ,leg_ik.R
左つま先ＩＫ,tiptoe_ik.L
右つま先ＩＫ,tiptoe_ik.R
上半身,upper_body
頭,head
左目,eye.L
右目,eye.R
両目,botheyes
ﾈｸﾀｲ１,tie1
ﾈｸﾀｲ２,tie2
ﾈｸﾀｲ３,tie3
ﾈｸﾀｲ４,tie4
前髪１,hair1
前髪２,hair2
前髪３,hair3
左髪１,twintail1.L
左髪２,twintail2.L
左髪３,twintail3.L
左髪４,twintail4.L
左髪５,twintail5.L
左髪６,twintail6.L
左髪７,twintail7.L
右髪１,twintail1.R
右髪２,twintail2.R
右髪３,twintail3.R
右髪４,twintail4.R
右髪５,twintail5.R
右髪６,twintail6.R
右髪７,twintail7.R
左肩,shoulder.L
左腕,arm.L
左ひじ,elbow.L
左手首,wrist.L
左袖,sleeve.L
右肩,shoulder.R
右腕,arm.R
右ひじ,elbow.R
右手首,wrist.R
右袖,sleeve.R
左親指１,finger1_1.L
左親指２,finger1_2.L
左人指１,finger2_1.L
左人指２,finger2_2.L
左人指３,finger2_3.L
左中指１,finger3_1.L
左中指２,finger3_2.L
左中指３,finger3_3.L
左薬指１,finger4_1.L
左薬指２,finger4_2.L
左薬指３,finger4_3.L
左小指１,finger5_1.L
左小指２,finger5_2.L
左小指３,finger5_3.L
右親指１,finger1_1.R
右親指２,finger1_2.R
右人指１,finger2_1.R
右人指２,finger2_2.R
右人指３,finger2_3.R
右中指１,finger3_1.R
右中指２,finger3_2.R
右中指３,finger3_3.R
右薬指１,finger4_1.R
右薬指２,finger4_2.R
右薬指３,finger4_3.R
右小指１,finger5_1.R
右小指２,finger5_2.R
右小指３,finger5_3.R
下半身,lower_body
腰飾り,skirt_side
左ｽｶｰﾄ前,skirt_front.L
左ｽｶｰﾄ後,skirt_back.L
右ｽｶｰﾄ前,skirt_front.R
右ｽｶｰﾄ後,skirt_back.R
左足首,ankle.L
右足首,ankle.R
右足,leg.R
右ひざ,knee.R
左足,leg.L
左ひざ,knee.L
右つま先,tiptoe.R
左つま先,tiptoe.L
首,neck
あ,shape_a
い,shape_i
う,shape_u
え,shape_e
お,shape_o
にやり,shape_niyari
まばたき,shape_mabataki
はぅ,shape_hau
笑い,shape_warai
ウィンク,shape_wink
真面目,shape_majime
困る,shape_komaru
にこり,shape_nikori
怒り,shape_ikari
上,shape_ue
下,shape_sita
初音ミク,hatsune_miku
亞北ネル,akita_neru
咲音メイコ,sakine_meiko
鏡音リン,kagamine_rin
鏡音レン,kagamine_ren
カイト,kaito
弱音ハク,yowane_haku
